阀门开度输出,平均值,最大值,最小值,标准差,样本数量,峰值扭矩
91,-49.15091562,-37.345154,-56.469849,4.337864017065063,100,-56.469849
92,-52.75834905050505,-48.512512,-58.459167,1.8230588135730672,99,-58.459167
93,-51.29622772,-44.3078,-60.810211,4.584445840506531,100,-60.810211
94,-54.666792130000005,-44.533875,-60.810211,3.6921641027561134,100,-60.810211
95,-55.38967923762377,-49.778473,-63.116028,3.3689591251943605,101,-63.116028
96,-58.70557699,-49.326324,-63.522949,3.265151352925741,100,-63.522949
97,-61.79763464,-58.368744,-67.230316,1.6099908861567118,100,-67.230316
98,-64.78388199,-61.171875,-69.671753,1.5426819951642885,100,-69.671753
99,-67.16113255,-64.381958,-70.756866,1.1448372656771824,100,-70.756866
100,-71.26413271,-66.687775,-74.283386,1.2798004587115235,100,-74.283386
